Respondent_ID,Q1_Domain,Q2_Topics,Q3_Subject,Q3_Subject_Other,Q3a_Topic,Q3a_Topic_Other,Q3b_Comments,Q4_Subject,Q4_Subject_Other,Q4a_Topic,Q4a_Topic_Other,Q4b_Comments,Q5_Subject,Q5_Subject_Other,Q5a_Topic,Q5a_Topic_Other,Q5b_Comments,Q6_Open,Q7_Open,Q8_Open,Q9_FirstTime
1,Maintenance,Topic Alpha - Equipment Reliability,Subject 6 - External Factors,,Supply chain issues,,Weather-related disruptions have been higher than usual this quarter.,Subject 2 - Equipment,,Software updates,,Communication between teams could be significantly improved.,Subject 6 - External Factors,,Other,,Training programs need to be updated to reflect new procedures.,,Continued staffing pressures and turnover.,"Great event overall, looking forward to next year.",Yes
2,Operations - Track A,Topic Iota - Personnel Wellness; Topic Alpha - Equipment Reliability,Subject 5 - Communication,,Reporting channels,,,Subject 4 - Training,,Recurrent training frequency,,Workload during peak periods is unsustainable without changes.,Subject 5 - Communication,,Information dissemination,,We have noticed increased issues related to fatigue among night shift staff.,Consider hybrid attendance options for those who can't travel.,,The catering was excellent.,No
3,Operations - Track A,Topic Zeta - Risk Assessment; Topic Beta - Crew Resource Management,Subject 1 - Personnel,,Experience levels,,Communication between teams could be significantly improved.,Subject 3 - Procedures,,Documentation gaps,,We need better tools for tracking maintenance schedules.,Other,Custom write-in subject example,Other,,Workload during peak periods is unsustainable without changes.,More time for networking would be valuable.,,The venue could be improved.,No
4,Maintenance,Topic Kappa - Technology Adoption; Topic Delta - Training Standards; Topic Beta - Crew Resource Management,Subject 1 - Personnel,,Workload distribution,,Cross-team meetings have been very productive when they occur.,Subject 1 - Personnel,,Workload distribution,,Communication between teams could be significantly improved.,Subject 4 - Training,,Simulator availability,,Workload during peak periods is unsustainable without changes.,Focus more on practical applications and less on theory.,Aging workforce and knowledge transfer challenges.,The catering was excellent.,No
5,Operations - Track A,Topic Beta - Crew Resource Management; Topic Gamma - Communication Protocols; Topic Delta - Training Standards,Subject 2 - Equipment,,Spare parts availability,,Reporting channels are unclear for non-routine observations.,Subject 3 - Procedures,,Other,Training simulator availability,Weather-related disruptions have been higher than usual this quarter.,Other,Custom write-in subject example,Other,Pilot fatigue concern,Weather-related disruptions have been higher than usual this quarter.,Focus more on practical applications and less on theory.,,Some sessions ran long; tighter scheduling would help.,Yes
6,Operations - Track A,Topic Delta - Training Standards; Topic Theta - Maintenance Scheduling; Topic Eta - Emergency Procedures,Subject 6 - External Factors,,Public perception,,Documentation is sometimes unclear and leads to inconsistent practices.,Subject 3 - Procedures,,Checklists,,Weather-related disruptions have been higher than usual this quarter.,Subject 6 - External Factors,,Other,Training simulator availability,,,,The catering was excellent.,No
7,Operations - Track A,Topic Beta - Crew Resource Management; Topic Alpha - Equipment Reliability; Topic Kappa - Technology Adoption; Topic Theta - Maintenance Scheduling,Subject 6 - External Factors,,Regulatory changes,,Spare parts inventory is sometimes insufficient for routine maintenance.,Subject 5 - Communication,,Inter-team communication,,Reporting channels are unclear for non-routine observations.,Subject 4 - Training,,Other,,Workload during peak periods is unsustainable without changes.,Smaller breakout groups would encourage more participation.,Continued staffing pressures and turnover.,The venue could be improved.,No
8,Maintenance,Topic Beta - Crew Resource Management; Topic Epsilon - Documentation; Topic Eta - Emergency Procedures,Subject 2 - Equipment,,Spare parts availability,,We have noticed increased issues related to fatigue among night shift staff.,Subject 6 - External Factors,,Supply chain issues,,,Other,Custom write-in subject example,Other,Pilot fatigue concern,,Smaller breakout groups would encourage more participation.,Increasing regulatory complexity.,More diverse perspectives in the panels would help.,No
9,Operations - Track A,Topic Kappa - Technology Adoption,Subject 3 - Procedures,,Process compliance,,We have noticed increased issues related to fatigue among night shift staff.,Subject 1 - Personnel,,Staffing levels,,Cross-team meetings have been very productive when they occur.,Subject 2 - Equipment,,Aging hardware,,Weather-related disruptions have been higher than usual this quarter.,More time for networking would be valuable.,Adoption of new technology without adequate training.,,Yes
10,Maintenance,Topic Gamma - Communication Protocols; Topic Theta - Maintenance Scheduling,Subject 5 - Communication,,Reporting channels,,We need better tools for tracking maintenance schedules.,Subject 5 - Communication,,Other,Software glitch in console,Spare parts inventory is sometimes insufficient for routine maintenance.,Subject 5 - Communication,,Reporting channels,,Cross-team meetings have been very productive when they occur.,,Changes in passenger volume and patterns.,,No
11,Operations - Track A,Topic Delta - Training Standards; Topic Beta - Crew Resource Management,Subject 3 - Procedures,,Standard operating procedures,,,Subject 2 - Equipment,,Other,Pilot fatigue concern,Weather-related disruptions have been higher than usual this quarter.,Subject 1 - Personnel,,Fatigue management,,Weather-related disruptions have been higher than usual this quarter.,More time for networking would be valuable.,Continued staffing pressures and turnover.,The catering was excellent.,Yes
12,Maintenance,Topic Epsilon - Documentation; Topic Theta - Maintenance Scheduling,Subject 2 - Equipment,,Other,,Documentation is sometimes unclear and leads to inconsistent practices.,Subject 5 - Communication,,Language barriers,,Weather-related disruptions have been higher than usual this quarter.,Other,Custom write-in subject example,Other,Software glitch in console,Spare parts inventory is sometimes insufficient for routine maintenance.,More time for networking would be valuable.,Adoption of new technology without adequate training.,,No
13,Operations - Track B,Topic Theta - Maintenance Scheduling; Topic Alpha - Equipment Reliability; Topic Beta - Crew Resource Management; Topic Iota - Personnel Wellness,Subject 4 - Training,,Simulator availability,,Communication between teams could be significantly improved.,Subject 2 - Equipment,,Software updates,,New software rollout went smoothly but training was minimal.,Subject 5 - Communication,,Language barriers,,Documentation is sometimes unclear and leads to inconsistent practices.,,Aging workforce and knowledge transfer challenges.,Some sessions ran long; tighter scheduling would help.,No
14,Operations - Track A,Topic Theta - Maintenance Scheduling,Other,Custom write-in subject example,Other,,Equipment failures have caused minor delays but no safety incidents recently.,Other,Custom write-in subject example,Other,Software glitch in console,Training programs need to be updated to reflect new procedures.,Subject 2 - Equipment,,Spare parts availability,,,,Increasing regulatory complexity.,,Yes
15,Operations - Track A,Topic Alpha - Equipment Reliability; Topic Eta - Emergency Procedures; Topic Epsilon - Documentation; Topic Iota - Personnel Wellness,Other,Custom write-in subject example,Other,Communication delay,Cross-team meetings have been very productive when they occur.,Subject 6 - External Factors,,Other,Software glitch in console,,Subject 2 - Equipment,,Sensor reliability,,New software rollout went smoothly but training was minimal.,Add more interactive sessions to break up the day.,Continued staffing pressures and turnover.,The catering was excellent.,Yes
16,Operations - Track A,Topic Iota - Personnel Wellness; Topic Kappa - Technology Adoption; Topic Gamma - Communication Protocols; Topic Alpha - Equipment Reliability,Subject 5 - Communication,,Inter-team communication,,Staffing shortages are creating additional workload pressure.,Subject 1 - Personnel,,Other,Software glitch in console,Training programs need to be updated to reflect new procedures.,Subject 4 - Training,,Initial training quality,,Weather-related disruptions have been higher than usual this quarter.,Add more interactive sessions to break up the day.,Adoption of new technology without adequate training.,,No
17,Operations - Track B,Topic Zeta - Risk Assessment; Topic Delta - Training Standards,Subject 3 - Procedures,,Process compliance,,Documentation is sometimes unclear and leads to inconsistent practices.,Subject 6 - External Factors,,Supply chain issues,,Workload during peak periods is unsustainable without changes.,Subject 3 - Procedures,,Standard operating procedures,,We have noticed increased issues related to fatigue among night shift staff.,,Adoption of new technology without adequate training.,The venue could be improved.,No
18,Maintenance,Topic Gamma - Communication Protocols; Topic Zeta - Risk Assessment; Topic Beta - Crew Resource Management,Subject 2 - Equipment,,Sensor reliability,,Cross-team meetings have been very productive when they occur.,Subject 2 - Equipment,,Spare parts availability,,,Subject 6 - External Factors,,Supply chain issues,,,Add more interactive sessions to break up the day.,Supply chain disruptions affecting maintenance.,The venue could be improved.,No
19,Operations - Track B,Topic Beta - Crew Resource Management,Subject 6 - External Factors,,Other,Training simulator availability,Documentation is sometimes unclear and leads to inconsistent practices.,Subject 3 - Procedures,,Other,Training simulator availability,New software rollout went smoothly but training was minimal.,Subject 2 - Equipment,,Sensor reliability,,,,Supply chain disruptions affecting maintenance.,"Great event overall, looking forward to next year.",Yes
20,Maintenance,Topic Epsilon - Documentation; Topic Alpha - Equipment Reliability; Topic Iota - Personnel Wellness; Topic Gamma - Communication Protocols,Other,Custom write-in subject example,Other,Software glitch in console,We need better tools for tracking maintenance schedules.,Subject 6 - External Factors,,Public perception,,,Subject 6 - External Factors,,Public perception,,,Add more interactive sessions to break up the day.,Adoption of new technology without adequate training.,The venue could be improved.,No
21,Maintenance,Topic Zeta - Risk Assessment,Subject 5 - Communication,,Other,Communication delay,Documentation is sometimes unclear and leads to inconsistent practices.,Subject 2 - Equipment,,Aging hardware,,Cross-team meetings have been very productive when they occur.,Subject 3 - Procedures,,Standard operating procedures,,Onboarding for new staff takes longer than expected.,The presentation slides could be made available in advance.,Increasing regulatory complexity.,The venue could be improved.,No
22,Maintenance,Topic Kappa - Technology Adoption; Topic Gamma - Communication Protocols; Topic Delta - Training Standards; Topic Eta - Emergency Procedures,Subject 2 - Equipment,,Software updates,,Spare parts inventory is sometimes insufficient for routine maintenance.,Subject 1 - Personnel,,Workload distribution,,Some checklists are outdated and reference old equipment.,Other,Custom write-in subject example,Other,Training simulator availability,Weather-related disruptions have been higher than usual this quarter.,Consider hybrid attendance options for those who can't travel.,Adoption of new technology without adequate training.,,Yes
23,Operations - Track B,Topic Delta - Training Standards; Topic Theta - Maintenance Scheduling,Subject 3 - Procedures,,Documentation gaps,,Weather-related disruptions have been higher than usual this quarter.,Subject 2 - Equipment,,Aging hardware,,New software rollout went smoothly but training was minimal.,Subject 4 - Training,,Simulator availability,,We need better tools for tracking maintenance schedules.,More time for networking would be valuable.,Supply chain disruptions affecting maintenance.,The catering was excellent.,No
24,Maintenance,Topic Alpha - Equipment Reliability; Topic Beta - Crew Resource Management; Topic Epsilon - Documentation,Subject 2 - Equipment,,Other,Pilot fatigue concern,We need better tools for tracking maintenance schedules.,Subject 1 - Personnel,,Other,Training simulator availability,Spare parts inventory is sometimes insufficient for routine maintenance.,Subject 6 - External Factors,,Supply chain issues,,Spare parts inventory is sometimes insufficient for routine maintenance.,More time for networking would be valuable.,,Logistics were smoothly handled.,No
25,Operations - Track A,Topic Alpha - Equipment Reliability; Topic Iota - Personnel Wellness; Topic Delta - Training Standards; Topic Gamma - Communication Protocols,Subject 4 - Training,,Initial training quality,,Some checklists are outdated and reference old equipment.,Subject 5 - Communication,,Information dissemination,,Communication between teams could be significantly improved.,Subject 6 - External Factors,,Supply chain issues,,,Smaller breakout groups would encourage more participation.,,The catering was excellent.,No
26,Maintenance,Topic Iota - Personnel Wellness; Topic Gamma - Communication Protocols; Topic Delta - Training Standards,Subject 4 - Training,,Cross-training,,Staffing shortages are creating additional workload pressure.,Subject 5 - Communication,,Other,Communication delay,Cross-team meetings have been very productive when they occur.,Subject 5 - Communication,,Inter-team communication,,Cross-team meetings have been very productive when they occur.,Smaller breakout groups would encourage more participation.,Increasing regulatory complexity.,,No
27,Operations - Track B,Topic Theta - Maintenance Scheduling; Topic Delta - Training Standards; Topic Kappa - Technology Adoption; Topic Eta - Emergency Procedures,Other,Custom write-in subject example,Other,Training simulator availability,Training programs need to be updated to reflect new procedures.,Subject 5 - Communication,,Other,Pilot fatigue concern,Some checklists are outdated and reference old equipment.,Other,Custom write-in subject example,Other,Software glitch in console,Cross-team meetings have been very productive when they occur.,The presentation slides could be made available in advance.,Aging workforce and knowledge transfer challenges.,"Great event overall, looking forward to next year.",Yes
28,Operations - Track A,Topic Kappa - Technology Adoption; Topic Beta - Crew Resource Management; Topic Theta - Maintenance Scheduling; Topic Delta - Training Standards,Subject 6 - External Factors,,Other,Communication delay,New software rollout went smoothly but training was minimal.,Subject 4 - Training,,Cross-training,,Weather-related disruptions have been higher than usual this quarter.,Subject 2 - Equipment,,Aging hardware,,Communication between teams could be significantly improved.,,Increasing regulatory complexity.,More diverse perspectives in the panels would help.,No
29,Operations - Track A,Topic Beta - Crew Resource Management; Topic Theta - Maintenance Scheduling,Subject 2 - Equipment,,Spare parts availability,,,Subject 5 - Communication,,Other,Communication delay,Some checklists are outdated and reference old equipment.,Subject 5 - Communication,,Other,,Spare parts inventory is sometimes insufficient for routine maintenance.,,Aging workforce and knowledge transfer challenges.,,No
30,Operations - Track B,Topic Epsilon - Documentation; Topic Iota - Personnel Wellness,Subject 4 - Training,,Recurrent training frequency,,We need better tools for tracking maintenance schedules.,Subject 4 - Training,,Initial training quality,,Cross-team meetings have been very productive when they occur.,Subject 2 - Equipment,,Sensor reliability,,Some checklists are outdated and reference old equipment.,Focus more on practical applications and less on theory.,Adoption of new technology without adequate training.,More diverse perspectives in the panels would help.,No
31,Operations - Track A,Topic Gamma - Communication Protocols; Topic Delta - Training Standards; Topic Beta - Crew Resource Management; Topic Iota - Personnel Wellness,Subject 4 - Training,,Simulator availability,,,Subject 4 - Training,,Cross-training,,Equipment failures have caused minor delays but no safety incidents recently.,Subject 2 - Equipment,,Spare parts availability,,Reporting channels are unclear for non-routine observations.,Add more interactive sessions to break up the day.,,,Yes
32,Operations - Track B,Topic Eta - Emergency Procedures; Topic Kappa - Technology Adoption; Topic Delta - Training Standards,Subject 4 - Training,,Recurrent training frequency,,We need better tools for tracking maintenance schedules.,Subject 4 - Training,,Cross-training,,We have noticed increased issues related to fatigue among night shift staff.,Subject 4 - Training,,Simulator availability,,Reporting channels are unclear for non-routine observations.,Consider hybrid attendance options for those who can't travel.,,More diverse perspectives in the panels would help.,Yes
33,Operations - Track B,Topic Beta - Crew Resource Management,Subject 6 - External Factors,,Public perception,,Documentation is sometimes unclear and leads to inconsistent practices.,Other,Custom write-in subject example,Other,Pilot fatigue concern,Staffing shortages are creating additional workload pressure.,Subject 3 - Procedures,,Process compliance,,Some checklists are outdated and reference old equipment.,The presentation slides could be made available in advance.,,The catering was excellent.,No
34,Operations - Track B,Topic Eta - Emergency Procedures; Topic Epsilon - Documentation; Topic Beta - Crew Resource Management,Subject 4 - Training,,Initial training quality,,,Subject 1 - Personnel,,Staffing levels,,Weather-related disruptions have been higher than usual this quarter.,Subject 6 - External Factors,,Weather impacts,,Equipment failures have caused minor delays but no safety incidents recently.,Add more interactive sessions to break up the day.,Increasing regulatory complexity.,Logistics were smoothly handled.,Yes
35,Maintenance,Topic Delta - Training Standards; Topic Gamma - Communication Protocols,Subject 4 - Training,,Initial training quality,,New software rollout went smoothly but training was minimal.,Subject 4 - Training,,Simulator availability,,Onboarding for new staff takes longer than expected.,Subject 2 - Equipment,,Other,Software glitch in console,Communication between teams could be significantly improved.,Smaller breakout groups would encourage more participation.,Adoption of new technology without adequate training.,"Great event overall, looking forward to next year.",No
36,Maintenance,Topic Eta - Emergency Procedures; Topic Delta - Training Standards; Topic Beta - Crew Resource Management; Topic Epsilon - Documentation,Subject 6 - External Factors,,Regulatory changes,,Communication between teams could be significantly improved.,Subject 6 - External Factors,,Supply chain issues,,Communication between teams could be significantly improved.,Other,Custom write-in subject example,Other,,Onboarding for new staff takes longer than expected.,,Changes in passenger volume and patterns.,The venue could be improved.,No
37,Operations - Track A,Topic Theta - Maintenance Scheduling; Topic Beta - Crew Resource Management; Topic Eta - Emergency Procedures; Topic Gamma - Communication Protocols,Subject 6 - External Factors,,Public perception,,Documentation is sometimes unclear and leads to inconsistent practices.,Subject 4 - Training,,Recurrent training frequency,,,Subject 6 - External Factors,,Supply chain issues,,,,,,No
38,Operations - Track B,Topic Beta - Crew Resource Management; Topic Epsilon - Documentation,Subject 4 - Training,,Recurrent training frequency,,Workload during peak periods is unsustainable without changes.,Subject 5 - Communication,,Other,Training simulator availability,Reporting channels are unclear for non-routine observations.,Subject 1 - Personnel,,Experience levels,,Some checklists are outdated and reference old equipment.,Consider hybrid attendance options for those who can't travel.,,Logistics were smoothly handled.,No
39,Operations - Track B,Topic Epsilon - Documentation; Topic Kappa - Technology Adoption; Topic Alpha - Equipment Reliability,Subject 5 - Communication,,Reporting channels,,Training programs need to be updated to reflect new procedures.,Subject 2 - Equipment,,Spare parts availability,,,Subject 5 - Communication,,Reporting channels,,,,,"Great event overall, looking forward to next year.",Yes
40,Operations - Track B,Topic Eta - Emergency Procedures; Topic Delta - Training Standards,Subject 3 - Procedures,,Other,Communication delay,Onboarding for new staff takes longer than expected.,Subject 5 - Communication,,Other,Communication delay,Onboarding for new staff takes longer than expected.,Subject 6 - External Factors,,Other,Training simulator availability,Some checklists are outdated and reference old equipment.,,Supply chain disruptions affecting maintenance.,Some sessions ran long; tighter scheduling would help.,No
41,Operations - Track A,Topic Delta - Training Standards,Subject 3 - Procedures,,Standard operating procedures,,,Other,Custom write-in subject example,Other,Software glitch in console,New software rollout went smoothly but training was minimal.,Subject 6 - External Factors,,Public perception,,We need better tools for tracking maintenance schedules.,Smaller breakout groups would encourage more participation.,Adoption of new technology without adequate training.,Logistics were smoothly handled.,No
42,Operations - Track A,Topic Gamma - Communication Protocols; Topic Epsilon - Documentation; Topic Alpha - Equipment Reliability,Subject 6 - External Factors,,Other,Training simulator availability,Documentation is sometimes unclear and leads to inconsistent practices.,Subject 1 - Personnel,,Fatigue management,,,Subject 3 - Procedures,,Checklists,,,More time for networking would be valuable.,Continued staffing pressures and turnover.,Some sessions ran long; tighter scheduling would help.,No
43,Operations - Track B,Topic Zeta - Risk Assessment; Topic Gamma - Communication Protocols; Topic Alpha - Equipment Reliability; Topic Iota - Personnel Wellness,Other,Custom write-in subject example,Other,Pilot fatigue concern,Communication between teams could be significantly improved.,Subject 4 - Training,,Cross-training,,Training programs need to be updated to reflect new procedures.,Subject 5 - Communication,,Inter-team communication,,Documentation is sometimes unclear and leads to inconsistent practices.,Consider hybrid attendance options for those who can't travel.,Supply chain disruptions affecting maintenance.,The venue could be improved.,No
44,Operations - Track A,Topic Kappa - Technology Adoption; Topic Delta - Training Standards; Topic Eta - Emergency Procedures; Topic Iota - Personnel Wellness,Subject 4 - Training,,Simulator availability,,Spare parts inventory is sometimes insufficient for routine maintenance.,Subject 3 - Procedures,,Other,,Equipment failures have caused minor delays but no safety incidents recently.,Subject 6 - External Factors,,Weather impacts,,New software rollout went smoothly but training was minimal.,The presentation slides could be made available in advance.,Supply chain disruptions affecting maintenance.,The venue could be improved.,No
45,Operations - Track A,Topic Iota - Personnel Wellness; Topic Beta - Crew Resource Management,Subject 2 - Equipment,,Aging hardware,,Spare parts inventory is sometimes insufficient for routine maintenance.,Subject 4 - Training,,Other,Training simulator availability,,Subject 1 - Personnel,,Workload distribution,,Cross-team meetings have been very productive when they occur.,Smaller breakout groups would encourage more participation.,,The venue could be improved.,No
46,Operations - Track B,Topic Eta - Emergency Procedures; Topic Beta - Crew Resource Management,Subject 5 - Communication,,Reporting channels,,Documentation is sometimes unclear and leads to inconsistent practices.,Subject 3 - Procedures,,Checklists,,Training programs need to be updated to reflect new procedures.,Subject 1 - Personnel,,Workload distribution,,Cross-team meetings have been very productive when they occur.,Smaller breakout groups would encourage more participation.,,The venue could be improved.,No
47,Maintenance,Topic Eta - Emergency Procedures; Topic Epsilon - Documentation; Topic Theta - Maintenance Scheduling,Subject 4 - Training,,Initial training quality,,Equipment failures have caused minor delays but no safety incidents recently.,Subject 4 - Training,,Simulator availability,,We need better tools for tracking maintenance schedules.,Subject 1 - Personnel,,Fatigue management,,Weather-related disruptions have been higher than usual this quarter.,Add more interactive sessions to break up the day.,Supply chain disruptions affecting maintenance.,"Great event overall, looking forward to next year.",No
48,Operations - Track B,Topic Epsilon - Documentation; Topic Gamma - Communication Protocols; Topic Eta - Emergency Procedures; Topic Zeta - Risk Assessment,Other,Custom write-in subject example,Other,Communication delay,Training programs need to be updated to reflect new procedures.,Subject 3 - Procedures,,Process compliance,,Some checklists are outdated and reference old equipment.,Subject 3 - Procedures,,Standard operating procedures,,Staffing shortages are creating additional workload pressure.,Focus more on practical applications and less on theory.,,,No
49,Maintenance,Topic Iota - Personnel Wellness; Topic Alpha - Equipment Reliability; Topic Theta - Maintenance Scheduling; Topic Kappa - Technology Adoption,Subject 3 - Procedures,,Documentation gaps,,Some checklists are outdated and reference old equipment.,Subject 1 - Personnel,,Experience levels,,,Other,Custom write-in subject example,Other,Communication delay,,,Continued staffing pressures and turnover.,Logistics were smoothly handled.,No
50,Maintenance,Topic Theta - Maintenance Scheduling; Topic Alpha - Equipment Reliability; Topic Delta - Training Standards; Topic Gamma - Communication Protocols,Subject 5 - Communication,,Reporting channels,,Cross-team meetings have been very productive when they occur.,Subject 4 - Training,,Cross-training,,Communication between teams could be significantly improved.,Subject 1 - Personnel,,Other,Software glitch in console,Weather-related disruptions have been higher than usual this quarter.,Smaller breakout groups would encourage more participation.,Continued staffing pressures and turnover.,,Yes
51,Operations - Track A,Topic Theta - Maintenance Scheduling,Subject 1 - Personnel,,Workload distribution,,,Subject 6 - External Factors,,Supply chain issues,,,Subject 6 - External Factors,,Supply chain issues,,Spare parts inventory is sometimes insufficient for routine maintenance.,,,Logistics were smoothly handled.,No
52,Maintenance,Topic Eta - Emergency Procedures; Topic Delta - Training Standards,Subject 5 - Communication,,Other,Pilot fatigue concern,Documentation is sometimes unclear and leads to inconsistent practices.,Subject 3 - Procedures,,Process compliance,,Some checklists are outdated and reference old equipment.,Other,Custom write-in subject example,Other,Training simulator availability,We have noticed increased issues related to fatigue among night shift staff.,Smaller breakout groups would encourage more participation.,,More diverse perspectives in the panels would help.,No
53,Maintenance,Topic Zeta - Risk Assessment; Topic Kappa - Technology Adoption; Topic Eta - Emergency Procedures; Topic Delta - Training Standards,Subject 3 - Procedures,,Checklists,,Weather-related disruptions have been higher than usual this quarter.,Subject 5 - Communication,,Language barriers,,Weather-related disruptions have been higher than usual this quarter.,Other,Custom write-in subject example,Other,Training simulator availability,Equipment failures have caused minor delays but no safety incidents recently.,,,,No
54,Operations - Track B,Topic Gamma - Communication Protocols,Subject 5 - Communication,,Other,Pilot fatigue concern,Some checklists are outdated and reference old equipment.,Other,Custom write-in subject example,Other,,Communication between teams could be significantly improved.,Subject 4 - Training,,Initial training quality,,Documentation is sometimes unclear and leads to inconsistent practices.,,Aging workforce and knowledge transfer challenges.,The venue could be improved.,No
55,Operations - Track B,Topic Kappa - Technology Adoption; Topic Eta - Emergency Procedures; Topic Beta - Crew Resource Management,Other,Custom write-in subject example,Other,Communication delay,,Subject 3 - Procedures,,Process compliance,,,Subject 1 - Personnel,,Other,Software glitch in console,Training programs need to be updated to reflect new procedures.,Smaller breakout groups would encourage more participation.,Increasing regulatory complexity.,The venue could be improved.,No
56,Operations - Track A,Topic Theta - Maintenance Scheduling,Subject 2 - Equipment,,Sensor reliability,,We have noticed increased issues related to fatigue among night shift staff.,Subject 1 - Personnel,,Staffing levels,,Equipment failures have caused minor delays but no safety incidents recently.,Subject 3 - Procedures,,Documentation gaps,,Onboarding for new staff takes longer than expected.,,Aging workforce and knowledge transfer challenges.,Logistics were smoothly handled.,No
57,Maintenance,Topic Gamma - Communication Protocols; Topic Kappa - Technology Adoption,Subject 1 - Personnel,,Other,,Reporting channels are unclear for non-routine observations.,Subject 6 - External Factors,,Regulatory changes,,,Subject 5 - Communication,,Reporting channels,,Weather-related disruptions have been higher than usual this quarter.,,Supply chain disruptions affecting maintenance.,,No
58,Maintenance,Topic Theta - Maintenance Scheduling,Subject 3 - Procedures,,Other,Pilot fatigue concern,Staffing shortages are creating additional workload pressure.,Subject 4 - Training,,Simulator availability,,Cross-team meetings have been very productive when they occur.,Subject 6 - External Factors,,Public perception,,We need better tools for tracking maintenance schedules.,,Supply chain disruptions affecting maintenance.,Logistics were smoothly handled.,No
59,Operations - Track B,Topic Delta - Training Standards,Subject 4 - Training,,Other,,Onboarding for new staff takes longer than expected.,Subject 3 - Procedures,,Documentation gaps,,We have noticed increased issues related to fatigue among night shift staff.,Other,Custom write-in subject example,Other,Pilot fatigue concern,We need better tools for tracking maintenance schedules.,Add more interactive sessions to break up the day.,,Some sessions ran long; tighter scheduling would help.,No
60,Maintenance,Topic Delta - Training Standards; Topic Kappa - Technology Adoption; Topic Epsilon - Documentation,Subject 6 - External Factors,,Regulatory changes,,Communication between teams could be significantly improved.,Subject 6 - External Factors,,Weather impacts,,Cross-team meetings have been very productive when they occur.,Other,Custom write-in subject example,Other,,Equipment failures have caused minor delays but no safety incidents recently.,Focus more on practical applications and less on theory.,Aging workforce and knowledge transfer challenges.,The venue could be improved.,No
